rank,organization,Categorization,treasury,last 24hrs,top treasury tokens,main treasury chain,governance token holders,active members,proposals,votes,launch date
1,Uniswap,Protocol ,$2.7B,9%,"UNI,UNI-V1,WJXN,ACE,ETH",Ethereum,342k,8.8k,87,39.7k,09/22/2020
2,BitDAO,Investment and Grant,$1.1B,-2%,"BIT,ETH,USDC,USDT,FTT",Ethereum,19.4k,47,11,219,06/17/2021
3,Gnosis,Protocol ,$872.4M,-4.80%,"GNO,ETH,aSTETH,ABSHIBA.com,WETH",Ethereum,18k,1.6k,51,22.1k,11/23/2020
4,Polkadot,Protocol ,$313M,0.00%,DOT,Substrate,1M,25,287,1.7k,05/26/2020
5,OlympusDAO,Protocol ,$264M,-0.40%,"DAI,SLP,FRAX,OHM,SLP",Ethereum,16.9k,8.4k,209,46k,05/01/2021
6,UXDProtocol,Protocol ,$261.1M,-0.70%,"UXP,USDC,SUNNY,SOL,UXD",Solana,6.7k,64,474,1.9k,10/4/2020
7,Merit Circle,Service and Social,$246.6M,-5.30%,"MC,USDC,UNI-V2,WBTC,wibBTC",Ethereum,7.6k,824,19,2.2k,11/4/2021
8,Mango DAO,Protocol ,$234M,-2.30%,"MNGO,USDC,SOL,INU,WAGMI",Solana,11.1k,422,246,2.9k,12/8/2021
9,Decentraland,Service and Social,$218.5M,-4%,"MANA,USDT,SLP,DAI,ENS",Ethereum,288.6k,3.4k,1.3k,34.8k,02-20-2020
10,Aave,Protocol ,$157.7M,5.80%,"AAVE,aUSDC,XMAS,aDAI,aUSDT",Ethereum,146.4k,19.8k,126,172k,06-21-2021
11,Compound,Protocol ,$156.7M,10.90%,"COMP,ETH,USDC,cUNI,UNI",Ethereum,200.4k,2.3k,131,6.1k,04-26-2020
12,Aragon Network Budget,Investment and Grant,$141.3M,-1.80%,"USDC,ETH,ANT,UNI-V2,MANA",Ethereum,9,9,340,538,07-03-2020
13,Lido,Protocol ,$130.8M,-16.60%,"LDO,ETH,stETH,MATIC,USDC",Ethereum,22.6k,480,97,7.5k,02-01-2021
14,Radicle,Media,$114.7M,0.10%,"RAD,USDC,UNI-V2,ETH,WETH",Ethereum,6.9k,463,17,622,02-28-2021
15,ENS,Protocol ,$108.9M,-7.60%,"ENS,USDC,ETH,SMTH,HSF",Ethereum,155.1k,86.3k,43,103.2k,11-19-2021
16,Ribbon,Protocol ,$106.6M,-3.50%,"RBN,USDC,UNI-V2,yvUSDC,ETH",Ethereum,5.5k,1.2k,22,4k,05-31-2021
17,SuperRare,Service and Social,$97.2M,-3.80%,"RARE,ETH,HSF",Ethereum,8.9k,512,11,1k,08-17-2021
18,Maker Dao,Protocol ,$74.6M,-1.90%,"MKR,ENS,AAVE,stkAAVE,BAT",Ethereum,89.2k,0,0,0,12-18-2017
19,Gitcoin,Investment and Grant,$65.5M,-6.80%,"GTC,DAI,AKITA,ETH,ABSHIBA.com",Ethereum,26.2k,4.6k,96,45.2k,05-25-2021
20,DXdao,Service and Social,$64.4M,-1.60%,"DXD,ETH,USDC,SWPR,DAI",Ethereum,530,220,790,2.3k,05-29-2019
21,API3,Service and Social,$62.2M,-5.10%,"API3,USDC,PNK,ETH",Ethereum,19.1k,10,71,197,07-08-2021
22,KeeperDAO,Protocol ,$53.9M,-2.20%,"ROOK,DAI,ETH,WETH,USDC",Ethereum,19.4k,230,27,874,07-18-2020
23,Solend,Protocol ,$50.2M,-1.30%,"SLND,USDC,USDT,SOL,LDO",Solana,11.7k,213,3,310,06-19-2022
24,Popcorn,Investment and Grant,$49M,-1.00%,"POP,USDC,G-UNI,BTR,ETH",Polygon,849,594,10,970,11-24-2021
25,WOO DAO,Investment and Grant,$47.3M,-3.70%,"WOO,WETH,DODO,USDC,ETH",Ethereum,12.8k,0,0,0,12-06-2021
26,Rarible,Protocol ,$42.8M,-1.50%,"RARI,USDC,ETH,WETH,DAI",Ethereum,25.5k,2.2k,136,8k,09-12-2020
27,yearn.finance,Investment and Grant,$34.4M,-4.90%,"YFI,USDC,3Crv,yvCurve-3pool,yvUSDC",Ethereum,57.3k,3.3k,16,4.8k,07-17-2020
28,Instadapp,Protocol ,$34M,1.80%,"INST,ETH",Ethereum,4.2k,102,14,269,06-16-2021
29,Nouns DAO,Service and Social,$32.4M,-1.40%,"ETH,stETH,MVDG,PMON,HSF",Ethereum,328,151,125,1.7k,09-13-2021
30,Balancer,Protocol ,$31.3M,-5.30%,"BAL,FEI,bb-a-USD,USDC,TRIBE",Ethereum,46.3k,7.9k,168,51.6k,05-15-2020
31,Aavegotchi,Service and Social,$30.3M,0.50%,"DAI,GHST,MATIC,ETH",Ethereum,13.6k,6k,328,156.3k,03-31-2022
32,Tornado Cash,Protocol ,$29.9M,-3.40%,"TORN,ETH,SHERPA,WETH",Ethereum,8.9k,137,26,415,07-01-2020
33,Nation3,Service and Social,$29.5M,-3%,"NATION,80NATION-20WETH,ETH",Ethereum,1k,0,79,64,04-08-2022
34,Fei,Protocol ,$28.4M,-20.90%,"TRIBE,SACKS,FEI,USDC,VOLT",Ethereum,18.4k,4.9k,128,13.5k,04-10-2021
35,Acala,Protocol ,$27.8M,0.00%,ACA,Substrate,161.2k,8,107,347,01-06-2020
36,Metaplex,Service and Social,$26.5M,0.30%,"USDC,SOL",Solana,6,8,31,89,11-09-2021
37,Sushiswap,Protocol ,$26.4M,6.30%,"SUSHI,sushiHOUSE,USDC,SAK3,DAI",Ethereum,10.1k,10.1k,269,40.8k,09-07-2020
38,Kusama,Protocol ,$25.2M,0.00%,KSM,Substrate,253.8k,65,724,5k,04-24-2020
39,Cryptex,Protocol ,$22.6M,-1.10%,"CTX,USDC,WETH,ETH,LINK",Ethereum,1.4k,40,22,102,05-27-2021
40,Badger DAO,Service and Social,$20.8M,-2.70%,"BADGER,WETH,cDAI,aUSDC,aUSDT",Ethereum,43.7k,10.5k,132,70.1k,11-28-2020
41,Notional Finance,Protocol ,$20.2M,0.20%,"NOTE,WETH,USDC,ETH,WBTC",Ethereum,1.7k,133,10,476,10-26-2020
42,Serum,Protocol ,$19.8M,10.80%,"SRM,INU,SOL,GYC",Solana,50k,118,37,196,10-17-2021
43,Fingerprints DAO,Investment and Grant,$19.8M,-4.30%,"PRINTS,USDC,RAW,ETH,WETH",Ethereum,463,184,18,481,05-13-2021
44,Decentral Games,Service and Social,$19.5M,-1.70%,"ABSHIBA.com,DUREX,A68.net,KyDy.org,Up1.org",Ethereum,3.5k,975,116,19.2k,12-22-2020
45,ShapeShift,Service and Social,$19M,-7%,"FOX,fFOX-7,USDC,fFOX-79,TRIBE",Ethereum,38.6k,1.3k,83,9k,07-21-2021
46,PrimeDAO,Investment and Grant,$18.7M,-5.30%,"D2D,USDC,D2D,GTC,GIV",Ethereum,246,40,87,297,12-03-2020
47,Ampleforth,Protocol ,$17.9M,-6.50%,"FORTH,AMPL,UNI-V2,MOON-V1-aAMPL-AMPL,USDC",Ethereum,24k,234,20,523,06-09-2021
48,Tempus DAO,Protocol ,$16.8M,-2%,"TEMP,B-80TEMP-20WETH,TPS-stETH-30-7-2022,stETH,ETH",Ethereum,1.1k,99,7,184,01-21-2022
49,NFTX,Protocol ,$16.5M,0.60%,"NFTX,PUNK,SLP,USDC,fPUNK-31",Ethereum,5.8k,464,377,1.3k,01-03-2021
50,PartyDAO,Service and Social,$15.8M,-0.10%,"USDC,ETH,WETH,YUP",Ethereum,188,95,13,262,05-06-2021
51,Silo,Protocol ,$14.2M,-0.60%,"USDC,WETH,FXS,CVX,ETH",Ethereum,4.2k,230,7,419,12-22-2021
52,Synthetix,Protocol ,$13.2M,-0.20%,"SNX,sUSD,USDC,DAI,aSNX",Ethereum,110k,8.1k,46,11.2k,11-30-2020
53,Index Coop,Service and Social,$12.9M,32.30%,"INDEX,fG-UNI-FEI-USDC-8,fG-UNI-FEI-DAI-8,USDC,G-UNI",Polygon,7k,2.8k,408,18.1k,11-04-2021
54,Unlock,Protocol ,$11.7M,-3.60%,"UDT,USDC,DAI,UNI-V2,ETH",Ethereum,4.9k,151,22,402,06-04-2021
55,MANTRA DAO,Protocol ,$8.9M,-7.70%,"OM,ETH,OM",Ethereum,9.6k,1.2k,88,6.9k,11-10-2020
56,MeebitsDAO,Investment and Grant,$8.6M,-4.10%,"ETH,USDC,WETH,YGG,ape",Ethereum,3.5k,83,23,455,06-11-2021
57,DeFiGeek Community,Service and Social,$8.1M,-5.60%,"BPT-V1,TXJP,98TXJP-2WETH,cETH,akSwap.io",Ethereum,370,211,22,745,01-27-2021
58,Inverse,Protocol ,$8.1M,36%,"INV,ABSHIBA.com,DOLA,SLP,SLP",Ethereum,3.4k,420,29,1.7k,01-02-2021
59,pNetwork,Protocol ,$7.7M,0.70%,"PNT,ETH,UNI-V2,IQ",Ethereum,1.6k,14,4,13,10-25-2021
60,MoonDAO,Service and Social,$7.7M,-8.30%,"MOONEY,DAI,ETH,JBX,USDC",Ethereum,8.6k,1.7k,25,6.3k,01-24-2022
61,BarnBridge,Protocol ,$7.5M,-3.60%,"BOND,USDC,DAI,USDT,GUSD",Ethereum,11.7k,461,71,1.5k,08-21-2020
62,MetaCartel Ventures,Investment and Grant,$7M,-1.80%,"USDC,WETH,RAI,FLX,DAI",Ethereum,125,103,479,1.5k,11-25-2020
63,The LAO,Investment and Grant,$6.9M,-4.50%,"WETH,ETH",Ethereum,142,113,174,471,04-28-2020
64,Crust,Protocol ,$6.5M,0.00%,CRU,Substrate,78.5k,12,6,20,12-02-2019
65,Stakeborg DAO,Service and Social,$6.4M,0.10%,"STANDARD,ILSI,ETH",Ethereum,772,94,2,241,05-06-2022
66,Paragons,Service and Social,$6.3M,-1.60%,"DAI,USDC,PDT,ETH,USDT",Ethereum,1.4k,293,17,692,12-04-2021
67,dHedge,Protocol ,$6.2M,2%,"DHT,aUSDC,sUSD,aSUSD,MASK",Ethereum,4k,258,77,1.2k,07-07-2020
68,Alchemix,Protocol ,$5.7M,-9.10%,"ALCX,yvDAI,yvWETH,DAI,WETH",Ethereum,13.1k,2k,61,9.1k,02-28-2021
69,PieDAO,Investment and Grant,$4.9M,80.70%,"DOUGH,BPT-V1,USDC,UNI-V2,gOHM",Ethereum,3.5k,458,433,6.4k,04-27-2020
70,Polywrap,Protocol ,$4.7M,-0.10%,"USDC,ETH,USDT,UNI,MANA",Ethereum,61,61,129,584,10-22-2020
71,Botto,Media,$4.7M,-4.80%,"BOTTO,UNI-V2,ETH,WETH,USDC",Ethereum,3.2k,114,8,332,03-01-2022
72,Own.fund DAO,Investment and Grant,$4.4M,-2%,"USDC,ETH,DAI,JBX,ENS",Ethereum,53,40,62,674,08-12-2021
73,Global Coin Research,Investment and Grant,$4.4M,0.60%,"GCR,USDC,cUSDC,aUSDC,yvUSDC",Ethereum,761,84,6,148,11-16-2021
74,SquiggleDAO,Service and Social,$4.3M,-1.10%,"USDC,ETH,SACKS",Ethereum,819,268,36,691,03-27-2021
75,Tracer,Service and Social,$4.3M,-7.70%,"TCR,LINK,DAI,ETH,WBTC",Ethereum,1.9k,121,44,665,03-24-2021
76,Airalab,Service and Social,$4.2M,-1.30%,"XRT,RWS,DAI,ETH,UNI-V2",Ethereum,27,26,288,510,09-15-2020
77,Dtravel,Service and Social,$4.2M,-4.50%,"TRVL,ETH",Ethereum,2.1k,0,0,0,06-16-2021
78,Bifrost,Protocol ,$4M,0.00%,BNC,Substrate,82.3k,20,421,961,04-28-2020
79,bZx,Protocol ,$3.9M,-3.70%,"OOKI,BZRX,USDT,3Crv,ETH",Ethereum,5.9k,83,10,186,02-05-2021
80,OOKI,Protocol ,$3.9M,-3.90%,"OOKI,BZRX,USDT,3Crv,ETH",Ethereum,1.2k,25,6,35,01-04-2022
81,PleasrDAO,Investment and Grant,$3.6M,-68.90%,"USDC,shi,ETH,CUBT,HSF",Ethereum,78,78,53,993,04-13-2021
82,VitaDAO,Investment and Grant,$3.5M,-1.00%,"VITA,USDC,ETH,stETH,VBPT",Ethereum,1.3k,175,37,872,12-28-2021
83,Doodles,Service and Social,$3.5M,-3.60%,"ETH,WETH",Ethereum,7.6k,3.5k,39,12.8k,10-24-2021
84,ForeFront,Media,$3.4M,-2.60%,"FF,USDC,ETH,INDEX,ROBOT",Ethereum,1.5k,231,21,579,07-12-2021
85,PoolTogether,Service and Social,$3.3M,7.20%,"POOL,aDAI,GTC,COMP,TRIBE",Ethereum,9.2k,839,60,2.3k,03-02-2021
86,Moonbeam,Protocol ,$3.1M,0.00%,GLMR,Substrate,190.6k,0,95,281,12-02-2019
87,Yam Finance,Service and Social,$3.1M,-0.30%,"yvUSDC,WETH,DPI,yvsteCrv,UMA",Ethereum,16.4k,5.1k,188,19.8k,08-24-2020
88,Code4rena,Service and Social,$2.9M,-11.90%,"USDC,USDT,DAI,FEI,ETH",Ethereum,0,0,0,0,
89,Bankless DAO,Media,$2.7M,-4.90%,"BANK,80BANK-20WETH,WETH,SLP,ROBOT",Ethereum,6.8k,3.1k,39,15k,05-04-2021
90,CityDAO,Investment and Grant,$2.4M,-3.60%,"WETH,USDC,ETH,KRAUSE,BACON",Ethereum,6.4k,3.1k,38,15.5k,08-31-2021
91,Perpetual Protocol,Protocol ,$2M,-0.40%,"UNI-V2,WETH,FXS,DHT,DTOP",Ethereum,10.6k,683,30,2k,01-13-2021
92,JuiceboxDAO,Protocol ,$1.8M,-4.80%,"ETH,JBX,USDC,ENS,GRT",Ethereum,4.2k,773,188,11.3k,08-15-2021
93,Braintrust,Service and Social,$1.5M,-0.20%,"BTRST,ETH",Ethereum,89,89,18,272,08-24-2021
94,Unslashed,Protocol ,$1.5M,5.10%,"USF,PERP,ETH",Ethereum,1.4k,0,0,0,03-03-2021
95,Aragon Trust,Protocol ,$1.5M,-4.30%,"ANT,ETH,DAI,KEEP,MKR",Ethereum,9,7,100,173,03-30-2020
96,Dope Wars,Service and Social,$1.4M,-5.50%,"PAPER,ETH,MOCA,USDC,WETH",Ethereum,2.8k,684,51,2.2k,09-03-2021
97,metaCOLLECTIVE,Investment and Grant,$1.2M,-1.30%,"USDC,SOL,ETH,USDT,mSOL",Solana,203,38,78,330,01-19-2022
98,Varen,Protocol ,$1.1M,-17.60%,"VRN,sYFL,USDT,DAI,USDC",Ethereum,999,110,21,426,05-12-2021
99,"LilNouns DAO
",Service and Social,$1.1M,-1.60%,"ETH,LIL,WETH",Ethereum,1.3k,210,27,637,05-11-2022
100,Idle Finance,Protocol ,$1.1M,-3.80%,"IDLE,WETH,AAVE,stkAAVE,COMP",Ethereum,4.3k,362,96,1.3k,11-27-2020
101,Spice DAO,Service and Social,$895k,0.00%,"ETH,SPICE,UNI-V2,USDC",Ethereum,963,176,10,440,01-10-2022
102,BProtocol,Investment and Grant,$863.8k,-0.40%,"BPRO,ETH",Ethereum,1.7k,0,0,0,10-01-2020
103,Gas DAO,Service and Social,$815.3k,-2.20%,"GAS,ETH",Ethereum,47.9k,944,20,2k,12-29-2021
104,Lobby,Media,$702.7k,-4.50%,"UNI-V2,LBY,WETH,ETH",Ethereum,1.1k,7,1,6,12-07-2021
105,Babylon.finance,Investment and Grant,$681.3k,-4.10%,"BABL,WETH,DAI,USDC,ETH",Ethereum,1.5k,173,26,291,10-08-2021
